Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
Ca0.25Hg0.75Se,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,0.131
Ca0.50Hg0.50Se,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002296,0.798
Ca0.75Hg0.25Se,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.000296,1.468
Ca0.25Hg0.75S0.25Se0.75,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,0.229
Ca0.50Hg0.50S0.50Se0.50,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,0.984
Ca0.75Hg0.25S0.75Se0.25,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,1.483
Ca0.25Hg0.75S,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,0
Ca0.50Hg0.50S,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,0.137
Ca0.75Hg0.25S,Cubic,F-43m,216,2,0.258026135,-2.057931685,71.874,2.750191299,TRUE,FALSE,NM,0.0002196,1.131
Hg0.75Mg0.25Se,Cubic,F-43m,216,2,0.005939895,-1.468356819,52.33941428,3.2762225,TRUE,FALSE,NM,0,0.18
Hg0.5Mg0.5Se,Cubic,F-43m,216,2,0.005939895,-1.468356819,52.33941428,3.2762225,TRUE,FALSE,NM,0,0.58
Hg0.25Mg0.75Se,Cubic,F-43m,216,2,0.005939895,-1.468356819,52.33941428,3.2762225,TRUE,FALSE,NM,0,1.44
