Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
KSr3,Cubic,Fm-3m,225,4,0.108586907,0.108586907,FALSE,234.6260246,2.137075606,FALSE,TRUE,NM,0.0235702,0
RbSr3,Cubic,Fm-3m,225,4,0.142499316,0.142499316,FALSE,245.1576552,2.359346761,FALSE,TRUE,NM,0.0154661,0
Sr3Yb,Cubic,Fm-3m,225,4,0.280643489,0.280643489,FALSE,184.1142912,3.93141116,FALSE,TRUE,NM,1.15E-05,0
Sr4Bi3,Cubic,I-43d,220,14,0,-1.047437582,TRUE,528.5157185,6.141902806,FALSE,TRUE,NM,1.70E-06,0
Sr4Al,Cubic,Fd-3m,227,10,0.408367044,0.320051477,FALSE,554.1094064,2.262331676,FALSE,TRUE,NM,2.2762963,0
Sr4Pd,Cubic,Fd-3m,227,10,0.218075649,-0.045141867,FALSE,505.3106306,3.002906544,FALSE,TRUE,NM,0.0017822,0
Sr4Pt,Cubic,Fd-3m,227,10,0.255364915,-0.170831044,FALSE,502.4992496,3.605698262,FALSE,TRUE,NM,0.0027637,0
Sr4Ir,Cubic,Fd-3m,227,10,0.291312259,0.192290912,FALSE,487.3801736,3.698014891,FALSE,TRUE,NM,3.06E-05,0
Sr4Rh,Cubic,Fd-3m,227,10,0.158288438,0.081784336,FALSE,468.9945046,3.21054651,FALSE,TRUE,NM,0.0003823,0
Sr6Li23,Cubic,Fm-3m,225,29,0.00577597,0.00577597,FALSE,817.9803278,1.391319568,FALSE,TRUE,NM,0.0004595,0
Sr6Mg23,Cubic,Fm-3m,225,29,0,-0.070091297,TRUE,820.6913755,2.194789538,FALSE,TRUE,NM,0.3338567,0
Sr8Al7,Cubic,P2_13,198,60,0.008683812,-0.197385843,FALSE,2061.455425,2.867098146,FALSE,TRUE,NM,3.4545133,0
Sr8Ga7,Cubic,P2_13,198,60,0,-0.460252756,TRUE,1926.960556,4.098508017,FALSE,TRUE,NM,11.8701384,0
Sr8Rh5,Cubic,Pm-3m,221,13,0.063069378,-0.084053895,FALSE,382.4556981,5.277381116,FALSE,TRUE,NM,1.3001594,0
Sr11In7,Cubic,Fm-3m,225,36,0.008803466,-0.341249694,FALSE,1415.428172,4.147266875,FALSE,TRUE,NM,3.3187868,0
