Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band gap
CaIn,Cubic,Pm-3m,221,2,0.020320989,-0.56276823,56.77210549,4.530585171,FALSE,TRUE,NM,0.0001121,0
CaPb3,Cubic,Pm-3m,221,4,0,-0.290333107,118.9152379,9.239708783,FALSE,TRUE,NM,1.00E-06,0
CaPd,Cubic,Pm-3m,221,2,0.006872012,-0.64545575,43.08428098,5.646273922,FALSE,TRUE,NM,2.00E-07,0
CaTl,Cubic,Pm-3m,221,2,0,-0.51265126,57.75818905,7.028224839,FALSE,TRUE,NM,8.00E-06,0
CaHg11,Cubic,Pm-3m,221,36,0.088311532,-0.052588334,999.9841001,11.19171974,FALSE,TRUE,NM,0.0002968,0
CaTl3,Cubic,Pm-3m,221,4,0,-0.2796349,112.3389237,9.655695566,FALSE,TRUE,NM,3.20E-06,0
CaB6,Cubic,Pm-3m,221,7,0,-0.474966189,70.87785492,2.458646809,FALSE,TRUE,NM,0,0
CaBi3,Cubic,Pm-3m,221,4,0.068333538,-0.384020096,122.9160472,9.011121533,FALSE,TRUE,NM,1.00E-07,0
CaC4,Cubic,Pn-3m,224,10,5.128906732,5.128906732,825.3467277,0.354585597,FALSE,TRUE,FM,19.9920356,0
CaC2,Cubic,Pn-3m,224,12,0.764372946,0.764372946,224.838342,1.893619334,FALSE,FALSE,NM,0.0007579,1.7605
CaZn3,Cubic,Fm-3m,225,4,0.107493604,-0.15792994,75.60535062,5.190025321,FALSE,TRUE,NM,0.0007811,0
CaZn,Cubic,Fm-3m,225,2,0.180939973,-0.066554145,58.93367276,2.972244497,FALSE,TRUE,NM,0.0004389,0
CaN,Cubic,Fm-3m,225,2,0.398168288,-0.441381773,31.54688524,2.846866072,FALSE,TRUE,FM,1.0003367,0
